Flask server started
2018-01-26 12:04:12: {u'hr': 206, u'flex': 331, u'eda': 218, u'id': 2}
2018-01-26 12:04:12: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:12: {u'hr': 565, u'flex': 207, u'eda': 171, u'id': 1}
2018-01-26 12:04:12: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:12: {u'hr': 498, u'flex': 324, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 207, u'flex': 331, u'eda': 218, u'id': 2}
2018-01-26 12:04:12: {u'hr': 472, u'flex': 321, u'eda': 1, u'id': 0}
2018-01-26 12:04:12: {u'hr': 508, u'flex': 203, u'eda': 174, u'id': 1}
2018-01-26 12:04:12: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 467, u'flex': 201, u'eda': 165, u'id': 1}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 590, u'flex': 211, u'eda': 167, u'id': 1}
2018-01-26 12:04:13: {u'hr': 207, u'flex': 332, u'eda': 218, u'id': 2}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 731, u'flex': 206, u'eda': 166, u'id': 1}
2018-01-26 12:04:13: {u'hr': 207, u'flex': 332, u'eda': 218, u'id': 2}
2018-01-26 12:04:13: {u'hr': 207, u'flex': 332, u'eda': 219, u'id': 2}
2018-01-26 12:04:13: {u'hr': 207, u'flex': 332, u'eda': 219, u'id': 2}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 499, u'flex': 320, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 545, u'flex': 314, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 542, u'flex': 317, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 473, u'flex': 329, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 469, u'flex': 334, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 536, u'flex': 204, u'eda': 164, u'id': 1}
2018-01-26 12:04:13: {u'hr': 700, u'flex': 210, u'eda': 167, u'id': 1}
2018-01-26 12:04:13: {u'hr': 632, u'flex': 205, u'eda': 166, u'id': 1}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 548, u'flex': 200, u'eda': 166, u'id': 1}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 476, u'flex': 339, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 617, u'flex': 200, u'eda': 165, u'id': 1}
2018-01-26 12:04:13: {u'hr': 511, u'flex': 381, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 576, u'flex': 413, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 569, u'flex': 200, u'eda': 164, u'id': 1}
2018-01-26 12:04:13: {u'hr': 534, u'flex': 410, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 207, u'flex': 332, u'eda': 219, u'id': 2}
2018-01-26 12:04:13: {u'hr': 523, u'flex': 411, u'eda': 1, u'id': 0}
2018-01-26 12:04:13: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:13: {u'hr': 545, u'flex': 200, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 207, u'flex': 332, u'eda': 219, u'id': 2}
2018-01-26 12:04:14: {u'hr': 207, u'flex': 333, u'eda': 219, u'id': 2}
2018-01-26 12:04:14: {u'hr': 207, u'flex': 333, u'eda': 219, u'id': 2}
2018-01-26 12:04:14: {u'hr': 208, u'flex': 333, u'eda': 220, u'id': 2}
2018-01-26 12:04:14: {u'hr': 548, u'flex': 200, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 206, u'flex': 328, u'eda': 217, u'id': 2}
2018-01-26 12:04:14: {u'hr': 511, u'flex': 403, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 205, u'flex': 323, u'eda': 216, u'id': 2}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:14: {u'hr': 205, u'flex': 323, u'eda': 216, u'id': 2}
2018-01-26 12:04:14: {u'hr': 535, u'flex': 200, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:14: {u'hr': 218, u'flex': 322, u'eda': 214, u'id': 2}
2018-01-26 12:04:14: {u'hr': 468, u'flex': 398, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 647, u'flex': 390, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 590, u'flex': 201, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:14: {u'hr': 207, u'flex': 323, u'eda': 216, u'id': 2}
2018-01-26 12:04:14: {u'hr': 585, u'flex': 201, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:14: {u'hr': 938, u'flex': 385, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 520, u'flex': 201, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 207, u'flex': 323, u'eda': 216, u'id': 2}
2018-01-26 12:04:14: {u'hr': 206, u'flex': 322, u'eda': 216, u'id': 2}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:14: {u'hr': 521, u'flex': 382, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 519, u'flex': 202, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 519, u'flex': 374, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 206, u'flex': 322, u'eda': 216, u'id': 2}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:14: {u'hr': 513, u'flex': 202, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 510, u'flex': 202, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 3}
2018-01-26 12:04:14: {u'hr': 538, u'flex': 371, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 619, u'flex': 350, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 3}
2018-01-26 12:04:14: {u'hr': 594, u'flex': 202, u'eda': 163, u'id': 1}
2018-01-26 12:04:14: {u'hr': 206, u'flex': 322, u'eda': 216, u'id': 2}
2018-01-26 12:04:14: {u'hr': 206, u'flex': 322, u'eda': 216, u'id': 2}
2018-01-26 12:04:14: {u'hr': 451, u'flex': 338, u'eda': 1, u'id': 0}
2018-01-26 12:04:14: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 3}
2018-01-26 12:04:14: {u'hr': 541, u'flex': 202, u'eda': 163, u'id': 1}
2018-01-26 12:04:15: {u'hr': 436, u'flex': 332, u'eda': 1, u'id': 0}
2018-01-26 12:04:15: {u'hr': 114, u'flex': 91, u'eda': 133, u'id': 3}
2018-01-26 12:04:15: {u'hr': 206, u'flex': 322, u'eda': 216, u'id': 2}
2018-01-26 12:04:15: {u'hr': 357, u'flex': 329, u'eda': 1, u'id': 0}
2018-01-26 12:04:15: {u'hr': 206, u'flex': 322, u'eda': 216, u'id': 2}
2018-01-26 12:04:15: {u'hr': 206, u'flex': 322, u'eda': 216, u'id': 2}
2018-01-26 12:04:15: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 3}
2018-01-26 12:04:15: {u'hr': 525, u'flex': 202, u'eda': 163, u'id': 1}
2018-01-26 12:04:15: {u'hr': 517, u'flex': 202, u'eda': 163, u'id': 1}
2018-01-26 12:04:15: {u'hr': 366, u'flex': 331, u'eda': 1, u'id': 0}
2018-01-26 12:04:15: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:15: {u'hr': 206, u'flex': 322, u'eda': 216, u'id': 2}
2018-01-26 12:04:15: {u'hr': 517, u'flex': 337, u'eda': 1, u'id': 0}
2018-01-26 12:04:15: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
2018-01-26 12:04:15: {u'hr': 500, u'flex': 203, u'eda': 163, u'id': 1}
2018-01-26 12:04:15: {u'hr': 517, u'flex': 203, u'eda': 163, u'id': 1}
2018-01-26 12:04:15: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 3}
